plot,year,Crops,Forest,Other agricultural lands,Other semi-natural hab.,Urban,Water and wetlands
12-spruce-C-T-36,1987,0,0.587253370142083,0.316389777917522,0,0.0877133628963762,0.00641025641025643
12-spruce-C-T-36,1988,0,0.58904032584643,0.314992653566555,0,0.0875762172428042,0.00641025641025643
12-spruce-C-T-36,1989,0,0.590824935542524,0.313598868505941,0,0.0874392654726273,0.00641025641025643
12-spruce-C-T-36,1990,0,0.592607155383129,0.312208439821166,0,0.0873025073759974,0.00641025641025643
12-spruce-C-T-36,1991,0,0.594386941768247,0.310821384375485,0,0.0871659427430904,0.00641025641025643
12-spruce-C-T-36,1992,0,0.596164251349113,0.309437718809689,0,0.0870295713641073,0.00641025641025643
12-spruce-C-T-36,1993,0,0.597939041032125,0.308057459541893,0,0.0868933930292744,0.00641025641025643
12-spruce-C-T-36,1994,0,0.599711267982733,0.306680622767361,0,0.0867574075288451,0.00641025641025643
12-spruce-C-T-36,1995,0,0.601480889629262,0.305307224458351,0,0.0866216146530993,0.00641025641025643
12-spruce-C-T-36,1996,0,0.603247863666683,0.303937280363988,0,0.0864860141923451,0.00641025641025644
12-spruce-C-T-36,1997,0,0.60501214806033,0.302570806010169,0,0.0863506059369193,0.00641025641025644
12-spruce-C-T-36,1998,0,0.606773701049554,0.30120781669949,0,0.086215389677188,0.00641025641025644
12-spruce-C-T-36,1999,0,0.608532481151325,0.2998483275112,0,0.0860803652035471,0.00641025641025644
12-spruce-C-T-36,2000,0,0.610288447163769,0.298492353301187,0,0.0859455323064236,0.00641025641025644
12-spruce-C-T-36,2001,0,0.612041558169655,0.297139908701985,0,0.0858108907762762,0.00641025641025644
12-spruce-C-T-36,2002,0,0.613791773539811,0.295791008122808,0,0.0856764404035954,0.00641025641025644
12-spruce-C-T-36,2003,0,0.615539052936493,0.294445665749614,0,0.0855421809789051,0.00641025641025644
12-spruce-C-T-36,2004,0,0.617283356316681,0.293103895545186,0,0.0854081122927625,0.00641025641025644
12-spruce-C-T-36,2005,0,0.619024643935323,0.291765711249253,0,0.0852742341357595,0.00641025641025644
12-spruce-C-T-36,2006,0,0.620762876348516,0.290431126378621,0,0.0851405462985228,0.00641025641025644
12-spruce-C-T-36,2007,0,0.62249801441662,0.289100154227339,0,0.0850070485717153,0.00641025641025644
12-spruce-C-T-36,2008,0,0.624230019307317,0.287772807866888,0,0.0848737407460362,0.00641025641025644
12-spruce-C-T-36,2009,0,0.625958852498602,0.286449100146393,0,0.0847406226122219,0.00641025641025644
12-spruce-C-T-36,2010,0,0.627684475781716,0.285129043692859,0,0.0846076939610467,0.00641025641025644
12-spruce-C-T-36,2011,0,0.629406851264006,0.283812650911438,0,0.0844749545833236,0.00641025641025644
12-spruce-C-T-36,2012,0,0.63112594137174,0.28249993398571,0,0.0843424042699048,0.00641025641025644
12-spruce-C-T-36,2013,0,0.632841708852834,0.281190904877996,0,0.0842100428116827,0.00641025641025644
12-spruce-C-T-36,2014,0,0.634554116779537,0.279885575329689,0,0.0840778699995904,0.00641025641025644
12-spruce-C-T-36,2015,0,0.636263128551036,0.278583956861615,0,0.083945885624602,0.00641025641025644
12-spruce-C-T-36,2016,0,0.637968707896005,0.277286060774409,0,0.0838140894777341,0.00641025641025644
12-spruce-C-T-36,2017,0,0.639670818875087,0.275991898148923,0,0.0836824813500459,0.00641025641025644
12-spruce-C-T-36,2018,0,0.641369425883308,0.274701479846646,0,0.08355106103264,0.00641025641025645
12-spruce-C-T-36,2019,0,0.643064493652432,0.273414816510156,0,0.083419828316663,0.00641025641025645
12-spruce-C-T-36,2020,0,0.644755987253244,0.272131918563592,0,0.0832887829933065,0.00641025641025645
12-spruce-C-T-36,2021,0,0.64644387209777,0.270852796213142,0,0.0831579248538076,0.00641025641025645
12-spruce-C-T-36,2022,0,0.648128113941436,0.269577459447558,0,0.0830272536894492,0.00641025641025645
2-spruce-C-T-6,1987,0.357583875808368,0.466462206898504,0.176081661446159,0,0,0
2-spruce-C-T-6,1988,0.358114363080299,0.465519128703685,0.176472462440113,0,0,0
2-spruce-C-T-6,1989,0.358645197987213,0.464576296954105,0.176863944601402,0,0,0
2-spruce-C-T-6,1990,0.35917637945504,0.463633718321401,0.177256108290905,0,0,0
2-spruce-C-T-6,1991,0.35970790640646,0.462691399469995,0.177648953865815,0,0,0
2-spruce-C-T-6,1992,0.360239777760907,0.461749347056905,0.178042481679618,0,0,0
2-spruce-C-T-6,1993,0.360771992434579,0.460807567731561,0.17843669208208,0,0,0
2-spruce-C-T-6,1994,0.361304549340443,0.459866068135615,0.17883158541923,0,0,0
2-spruce-C-T-6,1995,0.361837447388242,0.45892485490276,0.179227162033337,0,0,0
2-spruce-C-T-6,1996,0.362370685484504,0.45798393465854,0.179623422262901,0,0,0
2-spruce-C-T-6,1997,0.362904262532546,0.45704331402017,0.180020366442633,0,0,0
2-spruce-C-T-6,1998,0.363438177432483,0.456102999596348,0.180417994903434,0,0,0
2-spruce-C-T-6,1999,0.363972429081236,0.455162997987075,0.180816307972385,0,0,0
2-spruce-C-T-6,2000,0.364507016372539,0.454223315783468,0.181215305972726,0,0,0
2-spruce-C-T-6,2001,0.365041938196942,0.453283959567583,0.181614989223838,0,0,0
2-spruce-C-T-6,2002,0.365577193441827,0.452344935912225,0.182015358041229,0,0,0
2-spruce-C-T-6,2003,0.366112780991406,0.451406251380774,0.182416412736516,0,0,0
2-spruce-C-T-6,2004,0.366648699726737,0.450467912527001,0.182818153617408,0,0,0
